x, y, v_x, v_y
1173.2, 1144.81, 463.495, 440.339
1177.84, 1149.22, 463.377, 440.129
1182.47, 1153.62, 463.258, 439.918
1187.1, 1158.02, 463.14, 439.708
1191.73, 1162.41, 463.022, 439.497
1196.36, 1166.81, 462.903, 439.287
1200.99, 1171.2, 462.785, 439.077
1205.62, 1175.59, 462.667, 438.866
1210.25, 1179.98, 462.549, 438.656
1214.87, 1184.37, 462.431, 438.446
1219.5, 1188.75, 462.313, 438.237
1224.12, 1193.13, 462.195, 438.027
1228.74, 1197.52, 462.078, 437.817
1233.36, 1201.89, 461.96, 437.608
1237.98, 1206.27, 461.842, 437.398
1242.6, 1210.64, 461.725, 437.189
1247.22, 1215.02, 461.607, 436.979
1251.83, 1219.39, 461.49, 436.77
1256.45, 1223.75, 461.373, 436.561
1261.06, 1228.12, 461.256, 436.352
1265.68, 1232.48, 461.138, 436.143
1270.29, 1236.84, 461.021, 435.934
1274.9, 1241.2, 460.904, 435.726
1279.51, 1245.56, 460.787, 435.517
1284.11, 1249.92, 460.671, 435.308
1288.72, 1254.27, 460.554, 435.1
1293.33, 1258.62, 460.437, 434.892
1297.93, 1262.97, 460.32, 434.683
1302.53, 1267.32, 460.204, 434.475
1307.14, 1271.66, 460.087, 434.267
1311.74, 1276, 459.971, 434.059
1316.34, 1280.34, 459.855, 433.851
1320.93, 1284.68, 459.738, 433.643
1325.53, 1289.02, 459.622, 433.436
1330.13, 1293.35, 459.506, 433.228
1334.72, 1297.68, 459.39, 433.02
1339.32, 1302.01, 459.274, 432.813
1343.91, 1306.34, 459.158, 432.606
1348.5, 1310.67, 459.042, 432.398
1353.09, 1314.99, 458.926, 432.191
1357.68, 1319.31, 458.811, 431.984
1362.27, 1323.63, 458.695, 431.777
1366.86, 1327.95, 458.579, 431.57
1371.44, 1332.27, 458.464, 431.363
1376.03, 1336.58, 458.348, 431.157
1380.61, 1340.89, 458.233, 430.95
1385.19, 1345.2, 458.118, 430.744
1389.77, 1349.51, 458.002, 430.537
1394.35, 1353.82, 457.887, 430.331
1398.93, 1358.12, 457.772, 430.124
1403.51, 1362.42, 457.657, 429.918
1408.09, 1366.72, 457.542, 429.712
1412.66, 1371.02, 457.427, 429.506
1417.24, 1375.31, 457.313, 429.3
